word,	wordFreq
especially,	186077
former,	185057
federal,	185029
control,	184672
began,	183819
pretty,	183711
myself,	183068
wife,	182326
quite,	181432
along,	181372
finally,	181233
gone,	181192
either,	181133
toward,	180784
level,	179229
because,	178859
experience,	178536
early,	178363
fine,	177947
move,	177058
baby,	176607
special,	176515
questions,	176346
policy,	175619
nice,	175536
major,	175432
boy,	174960
known,	174757
looks,	174087
issues,	172912
economic,	172153
phone,	171931
goes,	169236
church,	168990
class,	168761
development,	168322
couple,	168190
dead,	167083
simply,	166556
happen,	165832
change,	165752
wants,	164501
personal,	164270
market,	163660
military,	163555
easy,	163364
open,	163231
needed,	163176
million,	163158
department,	162909
exactly,	162663
tried,	162174
media,	161989
means,	161683
evidence,	161335
clear,	161102
change,	161045
seem,	161006
ways,	160766
provide,	160610
cut,	160360
energy,	160086
space,	160084
yourself,	159816
plan,	159623
art,	159436
became,	158624
weeks,	158366
happy,	158280
gets,	157871
international,	157709
turn,	156614
uh,	156333
role,	155848
town,	155230
worked,	154898
meet,	154553
itself,	154505
certain,	154059
whatever,	153871
hold,	153835
half,	153686
rights,	152796
groups,	152631
third,	152339
voice,	151795
brought,	151748
recent,	151675
available,	151375
takes,	151261
ready,	151242
hit,	150897
science,	150338
strong,	150122
society,	150074
feet,	149906
rest,	149544
month,	149518
field,	149178
mom,	148816
single,	148796
results,	148716
americans,	148452
current,	148387
support,	148342
road,	147818
likely,	147641
whose,	147491
less,	147290
hope,	147228
student,	146984
companies,	146834
general,	146275
held,	146205
tax,	146047
stuff,	145607
interest,	145430
oil,	145400
no,	144919
attention,	144742
seemed,	144601
look,	144218
guess,	143970
chance,	143944
dad,	143758
buy,	143700
red,	143365
learn,	142963
services,	142756
before,	142673
report,	141987
upon,	141420
million,	140954
future,	140874
late,	140170
series,	140169
campaign,	139965
continue,	139943
director,	139456
higher,	139409
hair,	139313
soon,	138512
knows,	138180
certainly,	138162
nearly,	138034
listen,	137925
position,	137836
north,	137666
well,	137599
film,	137397
action,	137393
light,	137359
situation,	136885
relationship,	136867
blood,	136845
ok,	136649
everybody,	136497
medical,	136493
difficult,	136474
thinking,	135649
games,	135520
site,	135321
post,	135198
watch,	135170
truth,	135063
ground,	134804
article,	134717
books,	134252
schools,	133987
per,	133974
private,	133907
studies,	133544
earth,	133301
tonight,	133187
than,	133168
view,	133118
movie,	133102
needs,	133052
other,	132728
nation,	132633
technology,	132390
husband,	132326
list,	132213
county,	132078
lives,	132017
model,	131262
low,	130830
each,	130754
hell,	130635
fire,	130623
video,	130615
decision,	130326
photo,	130058
common,	129980
programs,	129328
similar,	129272
nature,	129198
past,	128832
killed,	128811
short,	128579
congress,	128272
kill,	128182
wrote,	128179
create,	128135
matter,	128116
no,	128084
top,	127911
teachers,	127896
like,	127828
away,	127427
include,	126985
playing,	126839
economy,	126814
spent,	126462
effect,	126424
paper,	126329
deal,	126254
running,	126232
administration,	126016
industry,	125927
cases,	125761
recently,	125532
agree,	125493
met,	125147
force,	124831
building,	124674
states,	123926
longer,	123823
form,	123795
natural,	123788
usually,	123303
sir,	123227
significant,	123040
project,	122820
entire,	122397
died,	122342
serious,	122251
officials,	122195
summer,	121952
countries,	121774
practice,	121670
poor,	121321
color,	121051
defense,	120976
value,	120941
south,	120894
forward,	120845
period,	120746
beautiful,	120672
simple,	120667
girls,	120599
win,	120577
daughter,	120331
rate,	120197
quickly,	120136
record,	120048
moved,	119916
financial,	119858
language,	119827
land,	119821
areas,	119054
hour,	118873
thus,	118653
brother,	118506
jobs,	118256
hot,	118207
sex,	118001
kept,	117830
decided,	117757
election,	117197
choice,	117117
add,	116975
press,	116928
interesting,	116773
west,	116683
risk,	116213
difference,	115985
speak,	115795
support,	115637
help,	115487
enough,	115462
culture,	115415
somebody,	115340
write,	115267
knowledge,	115113
rather,	115104
tv,	114808
bed,	114652
left,	114310
sent,	114259
type,	114239
giving,	113435
eat,	113415
reported,	113387
park,	113267
despite,	113257
cause,	113175
played,	113113
changes,	113085
that,	112903
stories,	112748
race,	112448
begin,	112391
led,	112363
near,	112214
price,	111785
performance,	111663
foreign,	111509
won,	111441
population,	111407
seven,	111350
result,	111245
beyond,	111221
floor,	110915
consider,	110596
east,	110589
care,	110470
p.m.,	110263
act,	110139
changed,	110107
need,	110036
huge,	109898
open,	109760
hard,	109730
board,	109729
stand,	109655
physical,	109576
analysis,	109436
growth,	109080
hi,	108665
order,	108636
players,	108363
points,	108056
computer,	108042
sit,	107677
career,	107643
piece,	107405
republican,	107388
legal,	107134
ability,	107097
kid,	107050
watching,	106853
workers,	106787
teacher,	106746
end,	106661
outside,	106572
et,	106546
amount,	106531
doctor,	106334
quality,	106246
patients,	106104
clearly,	105965
moving,	105732
final,	105688
created,	105662
perfect,	105560
staff,	105386
since,	105367
considered,	105148
follow,	105100
supposed,	105037
bit,	104813
central,	104403
families,	104355
century,	104115
test,	104062
particularly,	104018
training,	103961
author,	103950
completely,	103941
shit,	103861
main,	103803
call,	103656
eight,	103554
close,	103513
boys,	103479
page,	103280
numbers,	103264
learned,	103201
behavior,	103078
die,	103062
picture,	103060
allow,	103001
figure,	102969
success,	102847
hospital,	102684
course,	102333
blue,	102172
herself,	102117
comments,	101911
king,	101534
member,	101473
specific,	101222
opportunity,	101077
expect,	100933
treatment,	100609
systems,	100590
check,	100568
levels,	100541
size,	100488
global,	99848
various,	99838
bit,	99520
drug,	99465
ten,	99389
telling,	99297
lot,	99278
nobody,	99029
star,	98905
lose,	98897
miles,	98859
best,	98807
spend,	98601
events,	98596
sun,	98596
absolutely,	98574
instead,	98540
message,	98485
waiting,	98445
instead,	98231
dog,	98223
section,	98217
received,	98142
works,	98090
effort,	98004
little,	97858
anyway,	97795
allowed,	97541
republicans,	97405
happens,	97340
leaders,	97179
top,	96997
living,	96940
paid,	96873
response,	96431
public,	96317
approach,	96291
eye,	96177
event,	96152
wall,	96082
indeed,	95860
pain,	95733
necessary,	95580
image,	95380
access,	95369
send,	95100
movement,	95004
committee,	94974
passed,	94880
democratic,	94862
older,	94843
sort,	94610
safe,	94524
cost,	94506
religious,	94485
save,	94434
kind,	94334
showed,	94154
seeing,	94126
source,	94116
green,	93897
expected,	93840
bill,	93613
sound,	93574
helped,	93520
middle,	93428
ideas,	93302
original,	93230
management,	93071
design,	93062
impact,	92974
term,	92883
particular,	92775
none,	92729
shows,	92709
pick,	92579
rules,	92547
resources,	92489
answer,	92458
built,	92393
build,	92282
tomorrow,	92235
positive,	92223
walk,	92188
share,	92104
character,	92060
gun,	92042
dark,	92037
justice,	91875
minute,	91856
included,	91680
politics,	91621
effects,	91575
meant,	91547
rather,	91475
popular,	91435
reality,	91407
ahead,	91325
bank,	91310
sister,	91199
second,	91160
total,	91071
army,	90828
sunday,	90771
loss,	90740
reading,	90693
pressure,	90672
lower,	90630
peace,	90493
democrats,	90357
box,	90354
above,	90318
window,	90259
written,	90234
therefore,	89981
scene,	89948
cold,	89930
district,	89915
past,	89859
arms,	89837
sitting,	89691
individual,	89686
inside,	89493
sat,	89451
greater,	89341
june,	89233
river,	89082
organization,	89012
may,	88994
ran,	88953
ball,	88949
lived,	88904
disease,	88722
leaving,	88694
friday,	88632
unless,	88605
trouble,	88506
places,	88436
nor,	88431
reasons,	88395
majority,	88380
lead,	88324
environment,	88256
asking,	88039
step,	88021
cancer,	87966
insurance,	87893
followed,	87774
trade,	87705
shall,	87480
cool,	87469
gives,	87333
offer,	87332
production,	87320
set,	87283
through,	87238
november,	87108
stopped,	87070
store,	87006
forget,	86958
explain,	86909
lines,	86843
born,	86799
gas,	86742
marriage,	86720
statement,	86707
dollars,	86700
hello,	86614
onto,	86605
credit,	86553
okay,	86529
skills,	86423
throughout,	86381
wish,	86050
weight,	85932
crazy,	85903
theory,	85835
conditions,	85754
march,	85654
play,	85611
down,	85515
song,	85498
obviously,	85364
example,	85246
forces,	85179
brain,	85116
imagine,	85093
alone,	85036
dinner,	85005
parts,	84908
further,	84817
professor,	84689
earlier,	84674
range,	84554
web,	84548
july,	84439
cup,	84283
key,	84228
sexual,	84220
individuals,	84195
once,	84165
added,	84161
early,	84142
stage,	84014
caught,	84008
modern,	83945
violence,	83852
stood,	83842
senate,	83832
products,	83827
talked,	83814
goal,	83775
efforts,	83747
leader,	83394
union,	83291
whom,	83267
front,	83180
crime,	83017
television,	82625
civil,	82544
date,	82542
activities,	82456
worth,	82178
while,	82163
speech,	82153
club,	82082
normal,	82076
thought,	82043
version,	81862
safety,	81823
freedom,	81708
named,	81576
letter,	81504
eventually,	81481
opened,	81302
radio,	81302
posted,	81141
association,	81087
walked,	81082
conference,	81026
player,	80917
professional,	80903
protect,	80820
ta,	80754
worry,	80677
rates,	80631
subject,	80588
agency,	80553
heat,	80495
activity,	80487
traditional,	80470
meeting,	80457
environmental,	80328
loved,	80254
network,	80234
region,	80099
october,	80099
by,	80074
property,	79971
hurt,	79929
immediately,	79856
internet,	79842
officer,	79820
effective,	79635
sea,	79613
budget,	79551
previous,	79535
island,	79458
nuclear,	79435
worse,	79431
benefits,	79420
income,	79314
mouth,	79265
attack,	79207
calling,	79129
directly,	79121
afraid,	78979
choose,	78967
wan,	78930
debate,	78786
lack,	78587
skin,	78584
faith,	78563
laws,	78541
just,	78194
product,	78172
cultural,	78023
rich,	78022
base,	78001
successful,	77999
ice,	77957
evening,	77826
suddenly,	77721
future,	77663
interested,	77632
designed,	77574
raised,	77310
saturday,	77290
shut,	77274
provided,	77215
anybody,	77150
reached,	77070
sell,	77056
critical,	77026
council,	76834
powerful,	76773
willing,	76629
serve,	76615
september,	76584
required,	76509
putting,	76441
opinion,	76377
easily,	76348
fair,	76182
rock,	76173
senior,	76109
grow,	76073
funny,	76067
anymore,	75907
april,	75906
potential,	75838
trip,	75805
hall,	75798
etc,	75726
realize,	75679
discussion,	75610
fresh,	75597
remain,	75459
due,	75368
pulled,	75260
starting,	75161
fish,	75137
status,	75122
following,	75047
compared,	74744
values,	74698
generally,	74681
larger,	74657
biggest,	74504
tough,	74496
along,	74461
holding,	74285
camera,	74259
basic,	74208
very,	74129
conversation,	74009
station,	73991
appear,	73910
shown,	73808
described,	73797
material,	73702
sports,	73677
reach,	73599
review,	73541
interview,	73533
avoid,	73461
fell,	73326
degree,	73314
drugs,	73291
huh,	73257
break,	73020
deep,	73000
capital,	72947
break,	72670
trial,	72666
species,	72542
additional,	72539
involved,	72455
lady,	72454
inside,	72435
middle,	72406
mostly,	72378
concerned,	72309
attorney,	72293
costs,	72267
surface,	72230
plans,	72006
wonderful,	71940
style,	71929
enjoy,	71879
kitchen,	71771
bar,	71719
return,	71676
images,	71673
deal,	71625
sales,	71601
offered,	71567
weekend,	71544
employees,	71520
standing,	71447
arm,	71348
glass,	71327
writing,	71268
quick,	71220
pass,	71192
appears,	71152
fear,	71112
christian,	71055
definitely,	70982
like,	70955
purpose,	70805
sure,	70758
voters,	70574
fall,	70336
turns,	70251
investigation,	70180
card,	70177
executive,	70160
prices,	70128
shot,	70081
fight,	70030
talk,	70016
taxes,	69910
heavy,	69874
tree,	69809
governor,	69777
bought,	69753
understanding,	69693
published,	69676
stock,	69558
note,	69552
amazing,	69525
coffee,	69518
league,	69493
cell,	69441
alive,	69360
differences,	69325
audience,	69309
gold,	69263
beginning,	69235
vote,	69221
argument,	69218
otherwise,	69217
includes,	69205
cars,	69070
mission,	68986
nine,	68968
face,	68929
commercial,	68821
suggest,	68789
developed,	68778
basis,	68758
account,	68693
teams,	68678
hotel,	68664
highly,	68586
christmas,	68542
standards,	68511
monday,	68488
senator,	68476
alone,	68401
text,	68378
factors,	68259
spring,	68247
participants,	68221
direction,	68147
thinks,	68137
stars,	68131
drive,	68079
served,	68005
pull,	67835
hate,	67811
truly,	67680
average,	67618
ones,	67599
seat,	67583
chinese,	67573
football,	67559
journal,	67519
nations,	67388
responsible,	67329
labor,	67299
decades,	67250
apparently,	67248
names,	67229
sounds,	67229
crisis,	67228
southern,	67179
becomes,	67172
terms,	67131
totally,	67117
memory,	67097
western,	67085
records,	67009
shot,	66856
develop,	66762
animals,	66744
spoke,	66734
british,	66700
fall,	66697
following,	66684
sold,	66662
stupid,	66660
learning,	66635
content,	66592
weapons,	66585
strategy,	66534
details,	66483
collection,	66431
fans,	66402
sick,	66290
manager,	66289
complete,	66170
decisions,	66100
currently,	66051
presence,	65988
feeling,	65911
trees,	65857
fun,	65823
vote,	65796
folks,	65773
will,	65771
answer,	65746
watched,	65729
wide,	65714
yesterday,	65619
somewhere,	65589
grew,	65518
appeared,	65512
feels,	65502
ended,	65475
debt,	65451
carry,	65441
terms,	65413
needs,	65404
present,	65336
join,	65306
provides,	65301
edge,	65269
leadership,	65252
authority,	65204
dream,	65189
returned,	65141
latest,	65114
um,	65033
remains,	65026
items,	64999
rule,	64921
intelligence,	64880
seriously,	64827
actual,	64818
title,	64810
wearing,	64706
wind,	64691
spirit,	64629
negative,	64601
prison,	64578
policies,	64562
screen,	64547
citizens,	64526
sources,	64472
secretary,	64446
regular,	64293
figure,	64261
responsibility,	64092
dangerous,	64067
museum,	64032
means,	64030
afternoon,	63975
sign,	63898
believed,	63891
until,	63882
coach,	63812
accept,	63805
favorite,	63804
religion,	63789
tells,	63752
like,	63748
start,	63739
sweet,	63728
released,	63721
january,	63714
require,	63661
independent,	63631
am,	63615
concern,	63609
miss,	63607
lots,	63604
front,	63591
scientists,	63536
aware,	63488
agreement,	63444
keeping,	63438
candidate,	63426
extra,	63392
steps,	63370
raise,	63322
fully,	63238
agreed,	63201
tuesday,	63179
cause,	63095
band,	63053
run,	63047
turn,	62956
continues,	62935
editor,	62926
fun,	62839
august,	62821
researchers,	62796
murder,	62775
billion,	62751
pictures,	62642
trust,	62598
structure,	62590
caused,	62509
speaking,	62470
mentioned,	62345
below,	62313
search,	62297
homes,	62262
european,	62156
living,	62124
bag,	62120
feeling,	62083
decide,	62061
basically,	62046
worst,	61940
realized,	61929
chair,	61895
climate,	61885
battle,	61846
continued,	61732
multiple,	61694
generation,	61685
happening,	61611
beat,	61575
twice,	61563
fast,	61523
parties,	61448
sky,	61410
hope,	61403
presidential,	61351
beach,	61285
receive,	61214
actions,	61137
daily,	61083
apple,	61047
above,	61018
threat,	60969
largest,	60930
corner,	60881
slowly,	60873
increase,	60846
focus,	60825
it,	60763
healthy,	60736
advice,	60728
wow,	60702
investment,	60649
easier,	60602
path,	60385
finding,	60353
produce,	60238
models,	60186
blog,	60180
filled,	60134
officers,	60118
female,	60116
liked,	59976
picked,	59901
cover,	59897
context,	59859
covered,	59815
knowing,	59778
vision,	59774
types,	59736
becoming,	59709
mental,	59701
glad,	59641
task,	59630
machine,	59607
software,	59561
cities,	59531
foot,	59428
related,	59387
magazine,	59372
protection,	59361
plant,	59354
challenge,	59330
annual,	59301
associated,	59098
code,	59097
primary,	58990
reduce,	58970
plants,	58969
sides,	58954
learning,	58901
online,	58873
library,	58824
fight,	58804
active,	58801
forced,	58703
clothes,	58645
lake,	58631
failed,	58619
mind,	58580
finished,	58563
comment,	58533
winter,	58428
cells,	58377
improve,	58375
strength,	58318
dropped,	58293
direct,	58289
focus,	58275
towards,	58251
reports,	58201
pieces,	58133
past,	58119
writing,	58102
ship,	58095
animal,	58091
possibly,	58071
creating,	58051
tiny,	58049
involved,	58026
customers,	58010
mine,	58009
mountain,	58005
writer,	57986
walking,	57982
condition,	57978
judge,	57948
sites,	57930
impossible,	57892
teach,	57872
gotten,	57871
institute,	57818
moral,	57787
paying,	57762
act,	57751
academic,	57717
foundation,	57708
movies,	57671
apartment,	57651
distance,	57649
somehow,	57578
scientific,	57547
african,	57497
variety,	57486
photograph,	57461
produced,	57384
smaller,	57368
closed,	57233
interests,	57212
appropriate,	57163
showing,	57142
gay,	57042
wonder,	57012
reading,	56976
thoughts,	56973
communities,	56949
straight,	56942
birth,	56911
speed,	56887
solution,	56878
determine,	56804
doctors,	56795
characters,	56765
track,	56736
obvious,	56696
helping,	56645
starts,	56638
thursday,	56611
planet,	56575
arts,	56545
weather,	56529
welcome,	56483
quiet,	56469
arrived,	56458
ah,	56374
calls,	56371
lord,	56371
failure,	56280
state,	56264
agent,	56247
return,	56245
clean,	56191
taught,	56163
progress,	56162
close,	56155
a.m.,	56128
organizations,	56033
wild,	55971
cash,	55828
garden,	55764
wear,	55698
factor,	55656
matter,	55639
correct,	55632
married,	55629
advantage,	55612
bigger,	55565
seconds,	55474
announced,	55449
slightly,	55389
artist,	55386
greatest,	55258
throw,	55237
noted,	55222
younger,	55200
neighborhood,	55129
prevent,	55077
historical,	55028
bay,	54987
smart,	54984
scale,	54965
survey,	54960
goals,	54918
legs,	54907
commission,	54906
method,	54899
partner,	54879
crowd,	54862
unique,	54827
prove,	54821
next,	54768
god,	54734
lead,	54722
chief,	54681
honey,	54670
familiar,	54651
ourselves,	54622
captain,	54541
identity,	54479
discovered,	54461
users,	54456
relationships,	54452
spot,	54444
competition,	54395
long,	54354
projects,	54256
broke,	54242
facts,	54231
catch,	54199
thinking,	54185
troops,	54175
french,	54133
concept,	54120
increase,	54034
funds,	54020
plane,	53988
december,	53957
streets,	53953
reform,	53946
anywhere,	53945
light,	53929
move,	53920
suggested,	53872
experiences,	53840
visit,	53734
residents,	53724
wednesday,	53706
perspective,	53599
famous,	53575
exist,	53553
placed,	53520
requires,	53443
bowl,	53439
lay,	53419
soldiers,	53398
lawyer,	53381
suggests,	53359
strange,	53326
decade,	53289
background,	53162
presented,	53101
fourth,	53036
native,	52950
supreme,	52933
candidates,	52921
turning,	52905
master,	52900
respect,	52869
but,	52830
growing,	52661
control,	52660
half,	52655
materials,	52552
contract,	52492
chief,	52475
drive,	52429
options,	52364
close,	52357
relations,	52337
target,	52327
website,	52319
restaurant,	52300
losing,	52271
baseball,	52253
terrible,	52156
yards,	52098
billion,	52087
soul,	52081
relatively,	52070
tend,	52004
general,	51970
complex,	51957
construction,	51942
camp,	51923
sleep,	51916
option,	51881
further,	51866
flight,	51855
angry,	51842
bottom,	51825
proud,	51821
extremely,	51789
sad,	51775
kinds,	51772
lucky,	51740
forever,	51730
corporate,	51712
firm,	51709
grand,	51696
excuse,	51606
warm,	51587
except,	51496
experts,	51473
male,	51453
importance,	51408
appreciate,	51385
minister,	51380
wine,	51342
feelings,	51331
unit,	51327
emotional,	51327
letters,	51324
damage,	51252
place,	51248
features,	51196
identified,	51134
traffic,	51046
coast,	51039
outside,	51015
division,	50991
now,	50991
literature,	50911
lunch,	50901
measures,	50892
adults,	50837
driver,	50820
possibility,	50813
medicine,	50777
charges,	50769
equipment,	50753
expensive,	50744
conflict,	50691
stone,	50653
recognize,	50649
methods,	50645
focused,	50643
moon,	50637
readers,	50627
emergency,	50580
truck,	50566
via,	50560
pm,	50551
luck,	50538
classes,	50399
institutions,	50334
signed,	50330
miss,	50263
joined,	50239
sees,	50185
opportunities,	50149
victory,	50146
tests,	50106
influence,	50092
victims,	50052
tired,	49972
bright,	49959
carried,	49952
storm,	49923
allows,	49908
ultimately,	49899
missed,	49898
fighting,	49897
works,	49867
unfortunately,	49863
begins,	49838
businesses,	49781
youth,	49776
core,	49772
border,	49763
fuck,	49760
united,	49746
surprise,	49687
attacks,	49686
educational,	49636
gift,	49619
comfortable,	49532
cost,	49521
useful,	49468
digital,	49461
noticed,	49446
forms,	49366
empty,	49364
plenty,	49361
entirely,	49352
boat,	49343
views,	49299
tools,	49284
operation,	49263
bus,	49238
prepared,	49198
pages,	49187
conservative,	49144
fucking,	49120
explained,	49075
identify,	49051
abuse,	49050
neck,	49004
practices,	48984
owner,	48968
runs,	48933
specifically,	48927
though,	48909
breath,	48877
growing,	48845
live,	48836
front,	48824
providing,	48815
signs,	48705
block,	48655
mistake,	48636
mayor,	48632
smile,	48572
bringing,	48526
equal,	48521
exchange,	48384
coverage,	48329
address,	48320
used,	48287
apply,	48196
hill,	48191
hole,	48154
chairman,	48145
understood,	48143
location,	48136
fingers,	48092
forest,	48092
expression,	48067
push,	48026
patient,	48021
elements,	48021
sleep,	48016
russian,	48001
lights,	47928
photos,	47918
soviet,	47917
driving,	47870
bodies,	47865
careful,	47841
farm,	47767
unidentified,	47748
discuss,	47716
late,	47682
uses,	47648
shoes,	47633
ass,	47618
domestic,	47518
fund,	47483
soft,	47482
handle,	47474
english,	47464
neither,	47463
note,	47450
either,	47446
quarter,	47408
shape,	47375
official,	47368
banks,	47363
concerns,	47355
busy,	47336
walls,	47307
surprised,	47260
shoot,	47190
markets,	47188
meaning,	47168
massive,	47167
honest,	47103
standard,	47085
fit,	47048
universe,	46964
plus,	46937
drop,	46918
regarding,	46854
excellent,	46847
criminal,	46839
rain,	46813
under,	46799
respond,	46724
enter,	46721
jewish,	46702
yours,	46632
operations,	46615
shoulder,	46574
scores,	46499
artists,	46475
indian,	46454
dogs,	46425
illegal,	46386
significantly,	46378
february,	46378
sample,	46284
hang,	46283
calls,	46240
humans,	46184
tea,	46174
hoping,	46166
moments,	46162
share,	46132
charge,	46100
eastern,	46071
balance,	46068
believes,	46037
democracy,	46023
contact,	46017
largely,	46002
gender,	45898
managed,	45862
windows,	45773
keeps,	45732
prime,	45667
desire,	45648
urban,	45632
maintain,	45615
spread,	45612
leading,	45581
brothers,	45520
findings,	45513
reaction,	45503
except,	45458
catholic,	45444
highest,	45440
mention,	45431
slow,	45414
guilty,	45403
shop,	45380
attempt,	45347
beauty,	45333
internal,	45259
established,	45188
chicken,	45184
lying,	45176
